LOCATOR#FLIGHT#DATE#PASSENGERS
W22HPN#IB4376#1673112825788#LLANES, LUKE
9X2GYT#IB4376#1673113242969#PÉREZ, ANTONIO
G3PGCT#IB4376#1673167311727#ALEJANDRO, LUIS
K66J6N#IB4376#1673168407963#PAN, PETER
FTFHXT#IB4376#1673176776553#PÉREZ, PEPE
ABN123#IB4353#1673168407963#CLARK KENT;DOROTHY HODGKIN;BRUCE WAYNE;MARY JONES
CDE456#AA5405#1673168407963#BRUCE WAYNE;UNAI ELORRIAGA;OLIVIA TAYLOR;ALYSSA BAKER
LMN654#IB4353#1673168407963#HAL JORDAN;JESSICA JONES;EMILY MARTIN;JOHN DAVIS
PQR987#AA5820#1673168407963#BARRY ALLEN;WILLIAM ANDERSON;ALYSSA BAKER;JAMES RODRIGUEZ
STU159#IB4894#1673168407963#ARTHUR CURRY;ELIZABETH WHITE;JESSICA JONES
VWX753#EK3392#1673168407963#NATASHA ROMANOFF;ANDER ELORZA;OLIVIA TAYLOR;MARY JONES
YZA246#AA4121#1673168407963#TONY STARK;JOHN DAVIS;MATTHEW LEWIS;BARRY ALLEN
BCD369#IB4353#1673168407963#STEVE ROGERS;MARY JONES;JOHN DAVIS;EMILY MARTIN
QRSTUV#BA4662#1673168407963#DOROTHY HODGKIN;OLIVIA TAYLOR;ABIGAIL THOMPSON;CHRISTOPHER JACKSON
EFGH45#BA2515#1673168407963#LISE MEITNER;DAVID GARCIA
MNOP89#IB2574#1673168407963#GERTRUDE B. ELION;MADISON YOUNG;PETER PARKER;RACHEL BROWN
UVWX23#AA5717#1673168407963#MICHAEL SMITH;LISE MEITNER;MATTHEW LEWIS;ALYSSA BAKER
CDEF67#IB5328#1673168407963#JOHN DAVIS;OLIVIA TAYLOR;DIANA PRINCE;ELIZABETH KING
GHIJ89#IB4353#1673168407963#RACHEL BROWN;ALYSSA BAKER;ABIGAIL THOMPSON;MADISON YOUNG
PQRST23#IB3095#1673168407963#MARY JONES;EMILY MARTIN;MADISON YOUNG;MATTHEW LEWIS
ABCDEF#AA4122#1673168407963#EMILY MARTIN;BENJAMIN HARRIS;DAVID GARCIA;MATTHEW LEWIS
GHIJKL#IB4353#1673168407963#WILLIAM ANDERSON;CHIEN-SHIUNG WU;ELIZABETH WHITE;ANE GABILONDO
MNOPQR#IB4609#1673168407963#OLIVIA TAYLOR;TONY STARK;MARK MOORE;JESSICA JONES
YZ0123#IB5761#1673168407963#ABIGAIL THOMPSON;OLIVIA TAYLOR;DAVID GARCIA;LEIRE MARTÍNEZ
CD4567#IB4173#1673168407963#MARK MOORE;ASIER GARMENDIA;MARIE CURIE;ENEKO BÓVEDA
IJ2345#IB5413#1673168407963#BENJAMIN HARRIS;EMILY MARTIN;JESSICA JONES;JESSICA WILLIAMS
KL6789#IB2023#1673168407963#MADISON CLARK;DIANA PRINCE;JAMES RODRIGUEZ;ELIZABETH KING
MN0123#BA2267#1673168407963#MATTHEW LEWIS;ADA LOVELACE;BENJAMIN HARRIS;ELIZABETH WHITE
PQ4567#IB4375#1673168407963#ALYSSA BAKER;CHIA-WEI WOO;BEÑAT GALDÓS;IÑIGO AGUIRRE
ST8901#IB4353#1673168407963#ROBERT DAVIS
UV2345#IB3102#1673168407963#MADISON YOUNG;CHRISTOPHER JACKSON;ROBERT DAVIS;ANE GABILONDO
WX6789#AA5217#1673168407963#WILLIAM RODRIGUEZ;RACHEL BROWN;WILLIAM ANDERSON;XABIER ETXEBERRIA
